E209 .Y684 2011               	E	 9224202	Whose American Revolution was it : historians interpret the founding / Alfred F. Young and Gregory H. Nobles.                                                                                                                                                 	Young, Alfred Fabian, 1925- &nbsp;                                                                                                                                                                                                                                   	New York University Press,  New York :  c2011.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
E342 .B77 2011                	E	 9224043	James Madison / Richard Brookhiser.                                                                                                                                                                                                                            	Brookhiser, Richard. &nbsp;                                                                                                                                                                                                                                          	Basic Books,  New York, NY :  2011.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
E354 .H525 2011               	E	 9224158	Rockets' red glare : an illustrated history of the War of 1812 / Donald R. Hickey and Connie D. Clark.                                                                                                                                                         	Hickey, Donald R., 1944- &nbsp;                                                                                                                                                                                                                                      	Johns Hopkins University Press,  Baltimore :  2011.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
E415.9.G8 S63 2011            	E	 9224081	Horace Greeley and the politics of reform in nineteenth-century America / Mitchell Snay.                                                                                                                                                                       	Snay, Mitchell. &nbsp;                                                                                                                                                                                                                                               	Rowman & Littlefield,  Lanham, Md. :  c2011.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
E745.B7 D45 2011              	E	 9224085	Omar Bradley : general at war / Jim DeFelice.                                                                                                                                                                                                                  	DeFelice, Jim, 1956- &nbsp;                                                                                                                                                                                                                                          	Regnery Publishing, Inc. ; Distributed to the trade by Perseus Distribution,  Washington, DC : New York :  ©2011.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
E806 .H557 2011               	E	 9224154	New Deal : a modern history / Michael Hiltzik.                                                                                                                                                                                                                 	Hiltzik, Michael A. &nbsp;                                                                                                                                                                                                                                           	Free Press,  New York :  2011.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
E907 .T73 2011                	E	 9224193	Transforming America : Barack Obama in the White House / edited by Steven E. Schier.                                                                                                                                                                           	&nbsp;                                                                                                                                                                                                                                                               	Rowman & Littlefield,  Lanham, Md. :  c2011.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
F782.S18 E37 2011             	F	 9224223	Eastern San Juan Mountains : their geology, ecology, and human history / edited by Rob Blair and George Bracksieck.                                                                                                                                            	&nbsp;                                                                                                                                                                                                                                                               	University Press of Colorado ; Mountain Studies Institute/San Juan Collaboratory,  Boulder, Colo. :  c2011.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
F1414.2 .H317 2011            	F	 9224216	Allende's Chile and the Inter-American Cold War / Tanya Harmer.                                                                                                                                                                                                	Harmer, Tanya. &nbsp;                                                                                                                                                                                                                                                	University of North Carolina Press,  Chapel Hill :  c2011.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
F2100 .J67 2011               	F	 9224242	Decolonization in St. Lucia : politics and global neoliberalism, 1945-2010 / Tennyson S. D. Joseph.                                                                                                                                                            	Joseph, Tennyson S. D. &nbsp;                                                                                                                                                                                                                                        	University Press of Mississippi,  Jackson :  c2011.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
F2169 .P76 2011               	F	 9224247	Protecting heritage in the Caribbean / edited by Peter E. Siegel and Elizabeth Righter.                                                                                                                                                                        	&nbsp;                                                                                                                                                                                                                                                               	University of Alabama Press,  Tuscaloosa :  c2011.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
F2175 .C325 2011              	F	 9224220	Caribbean : a history of the region and its peoples / edited by Stephan Palmié and Francisco A. Scarano.                                                                                                                                                     	&nbsp;                                                                                                                                                                                                                                                               	University of Chicago Press,  Chicago :  2011.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
F2689.2 .H47 2011             	F	 9224245	Guerrilla auditors : the politics of transparency in neoliberal Paraguay / Kregg Hetherington.                                                                                                                                                                 	Hetherington, Kregg. &nbsp;                                                                                                                                                                                                                                          	Duke University Press,  Durham [N.C.] :  c2011.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
GN281 .S457 2011              	G	 9224057	Deep history : the architecture of past and present / Andrew Shryock and Daniel Lord Smail ; with Timothy Earle...[et al.].                                                                                                                                    	Shryock, Andrew. &nbsp;                                                                                                                                                                                                                                              	University of California Press,  Berkeley :  c2011.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
GN289 .R33 2011               	G	 9224128	Race and the genetic revolution : science, myth, and culture / edited by Sheldon Krimsky and Kathleen Sloan ; with a foreword by Evelynn M. Hammonds.                                                                                                          	&nbsp;                                                                                                                                                                                                                                                               	Columbia University Press,  New York :  c2011.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
